date,device_id,temperature_c,humidity_pct,battery_pct,error_count,status
2025-09-06,1,22.07,45.93,85,0,OK
2025-09-06,2,23.27,39.3,73,1,WARN
2025-09-06,3,25.12,51.47,76,1,WARN
2025-09-06,4,23.92,48.0,74,1,WARN
2025-09-06,5,25.48,45.8,98,1,WARN
2025-09-07,1,25.64,41.23,83,0,OK
2025-09-07,2,22.47,44.98,71,0,OK
2025-09-07,3,25.17,43.46,73,0,OK
2025-09-07,4,26.6,48.66,72,0,OK
2025-09-07,5,27.62,47.3,95,1,WARN
2025-09-08,1,24.92,50.69,80,0,OK
2025-09-08,2,21.42,40.02,68,1,WARN
2025-09-08,3,26.67,46.43,71,1,WARN
2025-09-08,4,22.38,47.41,70,1,WARN
2025-09-08,5,22.57,51.47,94,1,WARN
2025-09-09,1,25.37,43.54,77,0,OK
2025-09-09,2,24.51,41.66,65,0,OK
2025-09-09,3,26.09,44.17,68,0,OK
2025-09-09,4,20.79,39.39,67,0,OK
2025-09-09,5,26.09,45.25,93,0,OK
2025-09-10,1,31.12,47.07,75,1,WARN
2025-09-10,2,23.01,50.85,64,0,OK
2025-09-10,3,25.47,44.11,66,0,OK
2025-09-10,4,28.48,47.98,64,0,OK
2025-09-10,5,25.76,43.41,91,0,OK
2025-09-11,1,24.3,45.44,73,0,OK
2025-09-11,2,28.52,47.3,62,0,OK
2025-09-11,3,23.32,46.46,65,0,OK
2025-09-11,4,25.39,50.42,62,0,OK
2025-09-11,5,24.27,42.08,88,1,WARN
2025-09-12,1,22.91,38.24,71,0,OK
2025-09-12,2,27.07,38.93,60,0,OK
2025-09-12,3,21.57,48.66,63,0,OK
2025-09-12,4,26.47,52.31,59,1,WARN
2025-09-12,5,27.44,39.36,87,0,OK
2025-09-13,1,22.45,45.15,69,0,OK
2025-09-13,2,27.4,41.75,58,1,WARN
2025-09-13,3,20.05,43.69,60,1,WARN
2025-09-13,4,27.39,50.36,57,1,WARN
2025-09-13,5,25.01,47.3,85,1,WARN
2025-09-14,1,26.67,55.47,68,0,OK
2025-09-14,2,24.35,45.19,56,1,WARN
2025-09-14,3,30.62,48.77,57,0,OK
2025-09-14,4,27.24,47.51,54,0,OK
2025-09-14,5,27.29,38.17,84,1,WARN
2025-09-15,1,29.51,46.67,67,1,WARN
2025-09-15,2,21.72,48.58,53,0,OK
2025-09-15,3,23.49,47.98,55,0,OK
2025-09-15,4,27.82,47.8,52,0,OK
2025-09-15,5,23.31,39.7,81,0,OK
2025-09-16,1,27.93,46.42,65,0,OK
2025-09-16,2,22.09,50.14,51,2,WARN
2025-09-16,3,24.78,47.51,53,0,OK
2025-09-16,4,27.53,41.5,50,0,OK
2025-09-16,5,25.8,43.47,78,1,WARN
2025-09-17,1,25.99,48.03,63,1,WARN
2025-09-17,2,26.16,43.76,49,0,OK
2025-09-17,3,24.43,44.95,51,0,OK
2025-09-17,4,24.04,47.08,49,1,WARN
2025-09-17,5,23.83,51.21,75,1,WARN
2025-09-18,1,21.43,45.49,60,0,OK
2025-09-18,2,26.58,46.5,48,1,WARN
2025-09-18,3,23.17,40.79,48,2,WARN
2025-09-18,4,25.63,41.02,46,0,OK
2025-09-18,5,29.07,42.58,73,0,OK
2025-09-19,1,27.58,49.24,58,1,WARN
2025-09-19,2,22.28,48.23,46,1,WARN
2025-09-19,3,26.1,42.69,46,0,OK
2025-09-19,4,21.35,36.06,45,0,OK
2025-09-19,5,26.79,47.72,71,0,OK
